country_iso3,country_name,indicator,indicator_name,status,year,gni_per_capita_atlas_usd,api_last_updated,source_url,source_name,api_query_url,source_page_url,captured_at,notes
GNQ,Equatorial Guinea,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,5890,2026-07-13,https://api.worldbank.org/v2/country/GNQ/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
KEN,Kenya,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,2200,2026-07-13,https://api.worldbank.org/v2/country/KEN/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
LBR,Liberia,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,830,2026-07-13,https://api.worldbank.org/v2/country/LBR/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
LBY,Libya,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,7250,2026-07-13,https://api.worldbank.org/v2/country/LBY/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
LSO,Lesotho,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1280,2026-07-13,https://api.worldbank.org/v2/country/LSO/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
MAR,Morocco,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,4360,2026-07-13,https://api.worldbank.org/v2/country/MAR/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
MDG,Madagascar,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,560,2026-07-13,https://api.worldbank.org/v2/country/MDG/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
MLI,Mali,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1120,2026-07-13,https://api.worldbank.org/v2/country/MLI/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
MOZ,Mozambique,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,570,2026-07-13,https://api.worldbank.org/v2/country/MOZ/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
MRT,Mauritania,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,2210,2026-07-13,https://api.worldbank.org/v2/country/MRT/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
MUS,Mauritius,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,14040,2026-07-13,https://api.worldbank.org/v2/country/MUS/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
MWI,Malawi,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,600,2026-07-13,https://api.worldbank.org/v2/country/MWI/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
NAM,Namibia,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,4340,2026-07-13,https://api.worldbank.org/v2/country/NAM/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
NER,Niger,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,750,2026-07-13,https://api.worldbank.org/v2/country/NER/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
NGA,Nigeria,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1360,2026-07-13,https://api.worldbank.org/v2/country/NGA/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
RWA,Rwanda,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1150,2026-07-13,https://api.worldbank.org/v2/country/RWA/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
SDN,Sudan,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,900,2026-07-13,https://api.worldbank.org/v2/country/SDN/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
SEN,Senegal,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1780,2026-07-13,https://api.worldbank.org/v2/country/SEN/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
SLE,Sierra Leone,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,830,2026-07-13,https://api.worldbank.org/v2/country/SLE/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
SOM,"Somalia, Fed. Rep.",NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,640,2026-07-13,https://api.worldbank.org/v2/country/SOM/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
SSD,South Sudan,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2015,1050,2026-07-13,https://api.worldbank.org/v2/country/SSD/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,"Latest non-empty observation returned by the World Bank API; observation year is retained. Last available year 2015 is older than the five-calendar-year current-comparison window; retained for transparency, excluded from current affordability calculations."
STP,Sao Tome and Principe,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,3800,2026-07-13,https://api.worldbank.org/v2/country/STP/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
SWZ,Eswatini,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,3730,2026-07-13,https://api.worldbank.org/v2/country/SWZ/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
SYC,Seychelles,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,19200,2026-07-13,https://api.worldbank.org/v2/country/SYC/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
TCD,Chad,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,970,2026-07-13,https://api.worldbank.org/v2/country/TCD/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
TGO,Togo,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1350,2026-07-13,https://api.worldbank.org/v2/country/TGO/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
TUN,Tunisia,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,4300,2026-07-13,https://api.worldbank.org/v2/country/TUN/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
TZA,Tanzania,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1270,2026-07-13,https://api.worldbank.org/v2/country/TZA/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
UGA,Uganda,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1120,2026-07-13,https://api.worldbank.org/v2/country/UGA/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
ZAF,South Africa,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,6270,2026-07-13,https://api.worldbank.org/v2/country/ZAF/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
ZMB,Zambia,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,1200,2026-07-13,https://api.worldbank.org/v2/country/ZMB/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
ZWE,Zimbabwe,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",reported,2025,2660,2026-07-13,https://api.worldbank.org/v2/country/ZWE/indicator/NY.GNP.PCAP.CD?format=json&mrnev=1&per_page=100,"World Bank, World Development Indicators API",https://api.worldbank.org/v2/country/all/indicator/NY.GNP.PCAP.CD?mrnev=1&format=json&per_page=20000,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD,2026-09-26,Latest non-empty observation returned by the World Bank API; observation year is retained.
