Country,Currency,Model,Local index (base 100),Currency effect,Rate card effect,Total,Rate type,Rate-card basis
RWA,RWF,Claude Fable 5.1,101.44,+1.4306%,+0.0000%,+1.4306%,official,"single observation, no change recorded"
RWA,RWF,Claude Opus 5,101.44,+1.4306%,+0.0000%,+1.4306%,official,"single observation, no change recorded"
RWA,RWF,Claude Opus 5 (routed),101.44,+1.4306%,+0.0000%,+1.4306%,official,"single observation, no change recorded"
RWA,RWF,DeepSeek V4 Flash 0731,101.44,+1.4306%,+0.0000%,+1.4306%,official,"single observation, no change recorded"
RWA,RWF,DeepSeek V4 Pro 0813 (max),"1,217.29",+1.4306%,+248.4907%,+249.9213%,official,recorded event
RWA,RWF,GPT-5.6 Luna,20.29,+1.4306%,-160.9438%,-159.5132%,official,recorded event
RWA,RWF,GPT-5.6 Sol,81.15,+1.4306%,-22.3144%,-20.8837%,official,recorded event
RWA,RWF,GPT-5.6 Terra,101.44,+1.4306%,+0.0000%,+1.4306%,official,"single observation, no change recorded"
RWA,RWF,GPT-6 Astra,101.44,+1.4306%,+0.0000%,+1.4306%,official,"single observation, no change recorded"
RWA,RWF,Gemini 3.8 Flash,202.88,+1.4306%,+69.3147%,+70.7453%,official,recorded event
RWA,RWF,Grok 4.6,101.44,+1.4306%,+0.0000%,+1.4306%,official,"single observation, no change recorded"
RWA,RWF,Kimi K3 (max),101.44,+1.4306%,+0.0000%,+1.4306%,official,"single observation, no change recorded"
RWA,RWF,Muse Spark 1.1,101.44,+1.4306%,+0.0000%,+1.4306%,official,"single observation, no change recorded"
SEN,XOF,Claude Fable 5.1,102.03,+2.0100%,+0.0000%,+2.0100%,official,"single observation, no change recorded"
SEN,XOF,Claude Opus 5,102.03,+2.0100%,+0.0000%,+2.0100%,official,"single observation, no change recorded"
SEN,XOF,Claude Opus 5 (routed),102.03,+2.0100%,+0.0000%,+2.0100%,official,"single observation, no change recorded"
SEN,XOF,DeepSeek V4 Flash 0731,102.03,+2.0100%,+0.0000%,+2.0100%,official,"single observation, no change recorded"
SEN,XOF,DeepSeek V4 Pro 0813 (max),"1,224.36",+2.0100%,+248.4907%,+250.5006%,official,recorded event
SEN,XOF,GPT-5.6 Luna,20.41,+2.0100%,-160.9438%,-158.9338%,official,recorded event
SEN,XOF,GPT-5.6 Sol,81.62,+2.0100%,-22.3144%,-20.3044%,official,recorded event
SEN,XOF,GPT-5.6 Terra,102.03,+2.0100%,+0.0000%,+2.0100%,official,"single observation, no change recorded"
SEN,XOF,GPT-6 Astra,102.03,+2.0100%,+0.0000%,+2.0100%,official,"single observation, no change recorded"
SEN,XOF,Gemini 3.8 Flash,204.06,+2.0100%,+69.3147%,+71.3247%,official,recorded event
SEN,XOF,Grok 4.6,102.03,+2.0100%,+0.0000%,+2.0100%,official,"single observation, no change recorded"
SEN,XOF,Kimi K3 (max),102.03,+2.0100%,+0.0000%,+2.0100%,official,"single observation, no change recorded"
SEN,XOF,Muse Spark 1.1,102.03,+2.0100%,+0.0000%,+2.0100%,official,"single observation, no change recorded"
ZAF,ZAR,Claude Fable 5.1,98.75,-1.2558%,+0.0000%,-1.2558%,official,"single observation, no change recorded"
ZAF,ZAR,Claude Opus 5,98.75,-1.2558%,+0.0000%,-1.2558%,official,"single observation, no change recorded"
ZAF,ZAR,Claude Opus 5 (routed),98.75,-1.2558%,+0.0000%,-1.2558%,official,"single observation, no change recorded"
ZAF,ZAR,DeepSeek V4 Flash 0731,98.75,-1.2558%,+0.0000%,-1.2558%,official,"single observation, no change recorded"
ZAF,ZAR,DeepSeek V4 Pro 0813 (max),"1,185.02",-1.2558%,+248.4907%,+247.2348%,official,recorded event
ZAF,ZAR,GPT-5.6 Luna,19.75,-1.2558%,-160.9438%,-162.1996%,official,recorded event
ZAF,ZAR,GPT-5.6 Sol,79.00,-1.2558%,-22.3144%,-23.5702%,official,recorded event
ZAF,ZAR,GPT-5.6 Terra,98.75,-1.2558%,+0.0000%,-1.2558%,official,"single observation, no change recorded"
ZAF,ZAR,GPT-6 Astra,98.75,-1.2558%,+0.0000%,-1.2558%,official,"single observation, no change recorded"
ZAF,ZAR,Gemini 3.8 Flash,197.50,-1.2558%,+69.3147%,+68.0589%,official,recorded event
ZAF,ZAR,Grok 4.6,98.75,-1.2558%,+0.0000%,-1.2558%,official,"single observation, no change recorded"
ZAF,ZAR,Kimi K3 (max),98.75,-1.2558%,+0.0000%,-1.2558%,official,"single observation, no change recorded"
ZAF,ZAR,Muse Spark 1.1,98.75,-1.2558%,+0.0000%,-1.2558%,official,"single observation, no change recorded"
